,ID,Behörde/Abteilung,Bezeichnung,Besoldung,Entgelt,PLZ,Ort,Entfernung,Eingestellt,Frist
0,1017477,Regierung von Oberbayern,Sachbearbeiter (m/w/d) für das Sachgebiet Verkehrsrecht,,TV-L E 10,80538,München,,02.09.2023,03.09.2023
1,1017476,Regierung von Oberbayern,Sachbearbeiter (m/w/d) im Bereich Baurecht,,TV-L E 10,80538,München,,02.09.2023,10.09.2023
2,1017230,Stadtverwaltung Brunsbüttel,eine Nachwuchskraft für den Ausbildungsberuf Kauffrau*mann für Tourismus und Freizeit (m/w/d),,,25541,Brunsbüttel,,02.09.2023,08.10.2023
3,1017114,Stadt Amberg,Sachbearbeiter (m/w/d) für die Bauverwaltung - Zentrale Vergabestelle,A11,TVöD-VKA E 10 - TVöD-VKA E 11,92224,Amberg,,02.09.2023,18.09.2023
4,1017111,Stadt Amberg,Lehrkräfte (m/w/d) für die Fächer Musik und Englisch mit beliebigem Zweitfach,,TVöD-VKA E 12 - TVöD-VKA E 13,92224,Amberg,,02.09.2023,18.09.2023
5,1017110,Stadt Amberg,"Anwärter (m/w/d) für den Einstieg in der 2. QE der Fachlaufbahn Verwaltung und Finanzen, fachlicher Schwerpunkt nichttechn. Verwaltungsdienst",,,92224,Amberg,,02.09.2023,30.09.2023
6,1016988,Stadt Cuxhaven,Erster Stadtrat (m/w/d) und Leitung des Dezernats I,B4,,27472,Cuxhaven,,02.09.2023,21.09.2023
7,1016925,Stadtverwaltung Brunsbüttel,ein*e Mitarbeiter*in für das Stadtarchiv (m/w/d),,TVöD-VKA E 10,25541,Brunsbüttel,,02.09.2023,17.09.2023
8,1016909,Stadtverwaltung Brunsbüttel,eine heilpädagogische Fachkraft für die Kindertagesstätten Kleiner Anker und Löwenzahn (m/w/d)-Kopie,,TVöD-SuE S 8b,25541,Brunsbüttel,,02.09.2023,17.09.2023
9,1016895,Stadt Cloppenburg,"Stadtoberinspektor, Bauoberinspektor oder Verwaltungsfachwirt (m/w/d)",A10,TVöD-VKA E 10,49661,Cloppenburg,,02.09.2023,17.09.2023
10,1016723,Stadt Groß-Gerau,Eine*n Sachbearbeiter*in (m/w/d) für das Parlamentsbüro,,TVöD-VKA E 6,64521,Groß-Gerau,,02.09.2023,23.09.2023
11,1016718,Stadt Groß-Gerau,"Eine stellv. Amtsleitung (m/w/d) für das Amt Soziales, Integration, Jugend und Senioren",,TVöD-VKA E 11,64521,Groß-Gerau,,02.09.2023,30.09.2023
12,1016690,Stadt Rastatt,Ingenieur (m/w/d) - Schwerpunkt Stadtentwässerung,A12,TVöD-VKA E 11,76437,Rastatt,,02.09.2023,29.09.2023
13,1016640,Gemeinde Hasbergen,Jugendpflger/in,,TVöD-SuE S 8a - TVöD-SuE S 11a,49205,Hasbergen,,02.09.2023,25.09.2023
14,1016558,Stadt Göppingen,Sekretariatsfachkraft (w/m/d),,TVöD-VKA E 5 - TVöD-VKA E 7,73033,Göppingen,,02.09.2023,24.09.2023
15,1016557,Welterbestadt Quedlinburg,Bauingenieur/in oder Architekt/in (m/w/d) Fachrichtung Hochbau bzw. Bauleiter/in (m/w/d),,TVöD-VKA E 11,06484,Quedlinburg,,02.09.2023,30.09.2023
16,1016554,Stadt Göppingen,Koordinator*in (w/m/d) der Geschäftsstelle Präventionsnetzwerk Kinderarmut - Brücken für ein chancenreiches Leben,,TVöD-SuE S 11b,73033,Göppingen,,02.09.2023,24.09.2023
17,1016545,Stadt Göppingen,Sachbearbeiter*in (w/m/d) für die Wohngeldbehörde,,TVöD-VKA E 6 - TVöD-VKA E 9a,73033,Göppingen,,02.09.2023,24.09.2023
18,1016531,Stadt Göppingen,Fachbereichsleitung (w/m/d),A9g,,73033,Göppingen,,02.09.2023,24.09.2023
19,1016530,Thüringer Landesamt für Bau und Verkehr,Bauingenieur (m/w/d) Straße und Radwege,,TV-L E 10,07545,Gera,,02.09.2023,01.10.2023
20,1016484,Thüringer Landesamt für Bau und Verkehr,Bauingenieur (m/w/d) Ingenieurbau,,TV-L E 11,07545,Gera,,02.09.2023,01.10.2023
21,1016458,Welterbestadt Quedlinburg,Baumkontrolleur/in (m/w/d),,TVöD-VKA E 6,06484,Quedlinburg,,02.09.2023,22.09.2023
22,1016341,Welterbestadt Quedlinburg,Büroassistenz des Personalrates (m/w/d),,TVöD-VKA E 5,06484,Quedlinburg,,02.09.2023,22.09.2023
